Hybryda  LV DEYE RISEN 450,,,,,,,,
WIELKOŚĆ,FALOWNIK,CENA BAZOWA TRAPEZ,CENA BAZOWA BLACHODACHÓWKA,CENA BAZOWA DACHÓWKA,CENA BAZOWA EKIERKI INWAZYJNE/BALAST,CENA BAZOWA GRUNT,"Zwiększenie magazynu do 10,24 kWh","Zwiększenie magazynu do 12,8kWh"
"2,7",DEYE,"25 000,00 zł","25 378,00 zł","25 540,00 zł","25 675,00 zł","25 972,00 zł","3 600,00 zł","6 600,00 zł"
"3,15",DEYE,"25 560,00 zł","26 001,00 zł","26 190,00 zł","26 347,50 zł","26 694,00 zł","3 600,00 zł","6 600,00 zł"
"3,6",DEYE,"26 040,00 zł","26 544,00 zł","26 760,00 zł","26 940,00 zł","27 336,00 zł","3 600,00 zł","6 600,00 zł"
"4,05",DEYE,"27 200,00 zł","27 767,00 zł","28 010,00 zł","28 212,50 zł","28 658,00 zł","3 600,00 zł","6 600,00 zł"
"4,5",DEYE,"27 950,00 zł","28 580,00 zł","28 850,00 zł","29 075,00 zł","29 570,00 zł","3 600,00 zł","6 600,00 zł"
"4,95",DEYE,"28 690,00 zł","29 383,00 zł","29 680,00 zł","29 927,50 zł","30 472,00 zł","3 600,00 zł","6 600,00 zł"
"5,4",DEYE,"29 420,00 zł","30 176,00 zł","30 500,00 zł","30 770,00 zł","31 364,00 zł","3 600,00 zł","6 600,00 zł"
"5,85",DEYE,"30 140,00 zł","30 959,00 zł","31 310,00 zł","31 602,50 zł","32 246,00 zł","3 600,00 zł","6 600,00 zł"
"6,3",DEYE,"30 850,00 zł","31 732,00 zł","32 110,00 zł","32 425,00 zł","33 118,00 zł","3 600,00 zł","6 600,00 zł"
"6,75",DEYE,"31 550,00 zł","32 495,00 zł","32 900,00 zł","33 102,50 zł","33 980,00 zł","3 600,00 zł","6 600,00 zł"
"7,2",DEYE,"32 240,00 zł","33 248,00 zł","33 680,00 zł","33 896,00 zł","34 832,00 zł","3 600,00 zł","6 600,00 zł"
"7,65",DEYE,"32 820,00 zł","33 891,00 zł","34 350,00 zł","34 579,50 zł","35 421,00 zł","3 600,00 zł","6 600,00 zł"
"8,1",DEYE,"33 350,00 zł","34 484,00 zł","34 970,00 zł","35 213,00 zł","36 104,00 zł","3 600,00 zł","6 600,00 zł"
"8,55",DEYE,"33 840,00 zł","35 037,00 zł","35 550,00 zł","35 806,50 zł","36 405,00 zł","3 600,00 zł","6 600,00 zł"
9,DEYE,"34 400,00 zł","35 660,00 zł","36 200,00 zł","36 470,00 zł","37 100,00 zł","3 600,00 zł","6 600,00 zł"
"9,45",DEYE,"35 020,00 zł","36 343,00 zł","36 910,00 zł","37 193,50 zł","37 855,00 zł","3 600,00 zł","6 600,00 zł"
"9,9",DEYE,"35 670,00 zł","37 056,00 zł","37 650,00 zł","37 947,00 zł","38 640,00 zł","3 600,00 zł","6 600,00 zł"
"10,35",DEYE,"36 260,00 zł","37 709,00 zł","38 330,00 zł","38 640,50 zł","39 365,00 zł","3 600,00 zł","6 600,00 zł"
"10,8",DEYE,"36 740,00 zł","38 252,00 zł","38 900,00 zł","39 224,00 zł","39 980,00 zł","3 600,00 zł","6 600,00 zł"
"11,25",DEYE,"37 270,00 zł","38 845,00 zł","39 520,00 zł","39 857,50 zł","40 645,00 zł","3 600,00 zł","6 600,00 zł"
"11,7",DEYE,"37 890,00 zł","39 528,00 zł","40 230,00 zł","40 581,00 zł","41 400,00 zł","3 600,00 zł","6 600,00 zł"
"12,15",DEYE,"38 550,00 zł","40 251,00 zł","40 980,00 zł","41 344,50 zł","42 195,00 zł","3 600,00 zł","6 600,00 zł"
"12,6",DEYE,"39 100,00 zł","40 864,00 zł","41 620,00 zł","41 998,00 zł","42 880,00 zł","3 600,00 zł","6 600,00 zł"
"13,05",DEYE,"39 700,00 zł","41 527,00 zł","42 310,00 zł","42 701,50 zł","43 615,00 zł","3 600,00 zł","6 600,00 zł"
"13,5",DEYE,"40 250,00 zł","42 140,00 zł","42 950,00 zł","43 355,00 zł","44 300,00 zł","3 600,00 zł","6 600,00 zł"